game_pk,id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
265597,40565,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Fenway Park,False,4,13,boston-red-sox,los-angeles-angels,BOS,LAA,Boston Red Sox,Los Angeles Angels,Red Sox,Angels,Red Sox,Angels,Boston,Los Angeles,American,American,East,West,7,5,,,,,,
265598,40570,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Chase Field,False,1,7,arizona-diamondbacks,cincinnati-reds,ARI,CIN,Arizona Diamondbacks,Cincinnati Reds,Diamondbacks,Reds,Diamondbacks,Reds,Arizona,Cincinnati,National,National,West,Central,7,11,,,,,,
265599,40568,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,8,kansas-city-royals,cleveland-guardians,KC,CLE,Kansas City Royals,Cleveland Guardians,Royals,Guardians,Royals,Guardians,Kansas City,Cleveland,American,American,Central,Central,9,7,,,,,,
265600,40571,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Dodger Stadium,False,14,9,los-angeles-dodgers,colorado-rockies,LAD,COL,Los Angeles Dodgers,Colorado Rockies,Dodgers,Rockies,Dodgers,Rockies,Los Angeles,Colorado,National,National,West,West,2,3,,,,,,
265601,40562,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Yankee Stadium,False,19,10,new-york-yankees,detroit-tigers,NYY,DET,New York Yankees,Detroit Tigers,Yankees,Tigers,Yankees,Tigers,New York,Detroit,American,American,East,Central,9,5,,,,,,
265602,40564,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,PNC Park,False,22,15,pittsburgh-pirates,miami-marlins,PIT,MIA,Pittsburgh Pirates,Miami Marlins,Pirates,Marlins,Pirates,Marlins,Pittsburgh,Miami,National,National,Central,East,2,3,,,,,,
265603,40559,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Wrigley Field,False,5,23,chicago-cubs,san-diego-padres,CHC,SD,Chicago Cubs,San Diego Padres,Cubs,Padres,Cubs,Padres,Chicago,San Diego,National,National,Central,West,1,5,,,,,,
265604,40561,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Oriole Park at Camden Yards,False,3,25,baltimore-orioles,seattle-mariners,BAL,SEA,Baltimore Orioles,Seattle Mariners,Orioles,Mariners,Orioles,Mariners,Baltimore,Seattle,American,American,East,West,5,6,,,,,,
265605,40563,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Citizens Bank Park,False,21,24,philadelphia-phillies,san-francisco-giants,PHI,SF,Philadelphia Phillies,San Francisco Giants,Phillies,Giants,Phillies,Giants,Philadelphia,San Francisco,National,National,East,West,8,2,,,,,,
265606,40557,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,28,tampa-bay-rays,texas-rangers,TB,TEX,Tampa Bay Rays,Texas Rangers,Rays,Rangers,Rays,Rangers,Tampa Bay,Texas,American,American,East,West,8,6,,,,,,
265607,40560,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Oakland Coliseum,False,20,29,oakland-athletics,toronto-blue-jays,OAK,TOR,Oakland Athletics,Toronto Blue Jays,Athletics,Blue Jays,Athletics,Blue Jays,Oakland,Toronto,American,American,West,East,5,4,,,,,,
265608,40566,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Center Parc Stadium,False,2,30,atlanta-braves,washington-nationals,ATL,WSH,Atlanta Braves,Washington Nationals,Braves,Nationals,Braves,Nationals,Atlanta,Washington,National,National,East,East,3,2,,,,,,
265609,40558,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Busch Stadium,False,26,16,st-louis-cardinals,milwaukee-brewers,STL,MIL,St. Louis Cardinals,Milwaukee Brewers,Cardinals,Brewers,Cardinals,Brewers,St. Louis,Milwaukee,National,National,Central,Central,2,3,,,,,,
265610,40567,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Minute Maid Park,False,11,18,houston-astros,new-york-mets,HOU,NYM,Houston Astros,New York Mets,Astros,Mets,Astros,Mets,Houston,New York,American,National,West,East,2,3,,,,,,
265611,40569,2010,2010-08-18T00:00:00.000Z,False,regular,STATUS_FINAL,Target Field,False,17,6,minnesota-twins,chicago-white-sox,MIN,CHW,Minnesota Twins,Chicago White Sox,Twins,White Sox,Twins,White Sox,Minnesota,Chicago,American,American,Central,Central,7,6,,,,,,
