game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
416035,2015-10-02,527048.0,450308.0,Martín Pérez,Jered Weaver,Texas Rangers,Los Angeles Angels,7.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,1.0,1.2857142857142858,1.5,0.7142857142857143,0.8333333333333334,100.0,91.0,67.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,8.0,6.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416036,2015-10-02,458708.0,596064.0,Josh Tomlin,Henry Owens,Cleveland Indians,Boston Red Sox,6.1,4.1,5.0,10.0,2.0,7.0,2.0,7.0,2.0,4.0,5.0,4.0,1.0,0.0,2.950819672131148,15.365853658536588,1.1475409836065575,3.414634146341464,99.0,107.0,63.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,8.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
416037,2015-10-02,516414.0,453562.0,Ariel Peña,Jake Arrieta,Milwaukee Brewers,Chicago Cubs,4.1,6.0,5.0,2.0,4.0,0.0,3.0,0.0,2.0,0.0,6.0,7.0,1.0,0.0,6.585365853658537,0.0,1.707317073170732,0.3333333333333333,93.0,72.0,54.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,21.0,4.0,10.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416038,2015-10-02,434538.0,572102.0,Francisco Liriano,Keyvius Sampson,Pittsburgh Pirates,Cincinnati Reds,5.0,5.0,7.0,3.0,4.0,4.0,4.0,4.0,0.0,2.0,5.0,7.0,1.0,1.0,7.2,7.2,1.4,1.0,91.0,95.0,59.0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,22.0,8.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416039,2015-10-02,518790.0,452718.0,Chris Heston,Kyle Kendrick,San Francisco Giants,Colorado Rockies,3.2,6.0,8.0,5.0,8.0,1.0,8.0,1.0,1.0,1.0,3.0,6.0,2.0,0.0,22.5,1.5,2.8125,1.0,68.0,94.0,44.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,24.0,4.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416040,2015-10-02,519242.0,430580.0,Chris Sale,Alfredo Simon,Chicago White Sox,Detroit Tigers,7.0,8.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,0.0,1.2857142857142858,2.25,0.8571428571428571,0.75,95.0,94.0,60.0,63.0,1.0,2.0,0.0,2.0,0.0,0.0,27.0,30.0,9.0,12.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
416041,2015-10-02,523989.0,572971.0,Rubby De La Rosa,Dallas Keuchel,Arizona Diamondbacks,Houston Astros,3.0,6.0,6.0,6.0,6.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,12.0,3.0,3.333333333333333,1.3333333333333333,73.0,99.0,45.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,25.0,4.0,7.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416042,2015-10-02,429722.0,432934.0,Ervin Santana,Chris Young,Minnesota Twins,Kansas City Royals,7.0,6.1,4.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,0.0,0.0,2.571428571428572,1.475409836065574,1.0,0.9836065573770492,110.0,100.0,69.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,25.0,10.0,6.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416045,2015-10-02,547874.0,605156.0,Hisashi Iwakuma,Aaron Brooks,Seattle Mariners,Oakland Athletics,7.0,7.0,9.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,8.0,1.0,0.0,1.0,1.2857142857142858,2.571428571428572,1.2857142857142858,1.1428571428571428,106.0,99.0,73.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,29.0,7.0,10.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416046,2015-10-02,622072.0,543391.0,Alex Wood,Casey Kelly,Los Angeles Dodgers,San Diego Padres,7.0,4.1,5.0,8.0,2.0,6.0,2.0,3.0,1.0,2.0,4.0,3.0,0.0,0.0,2.571428571428572,6.585365853658537,0.8571428571428571,2.439024390243903,88.0,81.0,55.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,13.0,6.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
