game_pk,date,home_whip_rolling_5,away_whip_rolling_5,home_whip_rolling_10,away_whip_rolling_10
380537,2014-03-22,0.0,0.0,0.0,0.0
380538,2014-03-23,0.0,0.0,0.0,0.0
380546,2014-03-30,0.0,0.6,0.0,0.6
380540,2014-03-31,0.0,0.0,0.0,0.0
380541,2014-03-31,0.0,0.0,0.0,0.0
380542,2014-03-31,0.0,0.0,0.0,0.0
380543,2014-03-31,0.0,0.0,0.0,0.0
380544,2014-03-31,0.0,0.0,0.0,0.0
380545,2014-03-31,0.0,0.0,0.0,0.0
380547,2014-03-31,0.0,0.0,0.0,0.0
380548,2014-03-31,0.0,0.0,0.0,0.0
380549,2014-03-31,0.0,0.0,0.0,0.0
380550,2014-03-31,0.0,0.0,0.0,0.0
380551,2014-03-31,0.0,0.0,0.0,0.0
380552,2014-03-31,0.0,0.0,0.0,0.0
380553,2014-03-31,0.0,0.0,0.0,0.0
380554,2014-04-01,0.0,0.0,0.0,0.0
380556,2014-04-01,0.0,0.0,0.0,0.0
380557,2014-04-01,0.0,0.0,0.0,0.0
380558,2014-04-01,0.0,0.0,0.0,0.0
380559,2014-04-01,0.0,0.0,0.0,0.0
380560,2014-04-01,0.0,0.0,0.0,0.0
380561,2014-04-01,1.0,0.0,1.0,0.0
380562,2014-04-01,0.0,0.0,0.0,0.0
380555,2014-04-02,0.0,0.0,0.0,0.0
380563,2014-04-02,0.0,0.0,0.0,0.0
380564,2014-04-02,0.0,0.0,0.0,0.0
380565,2014-04-02,0.0,0.0,0.0,0.0
380566,2014-04-02,0.0,0.0,0.0,0.0
380567,2014-04-02,0.0,0.0,0.0,0.0
380568,2014-04-02,0.0,0.0,0.0,0.0
380569,2014-04-02,0.0,0.0,0.0,0.0
380570,2014-04-02,0.0,0.0,0.0,0.0
380571,2014-04-02,0.0,0.0,0.0,0.0
380572,2014-04-02,0.0,0.0,0.0,0.0
380573,2014-04-02,0.0,0.0,0.0,0.0
380574,2014-04-02,3.0,0.0,3.0,0.0
