id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
12624,2010,2010-05-15T00:10:00.000Z,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,6,kansas-city-royals,chicago-white-sox,KC,CHW,Kansas City Royals,Chicago White Sox,Royals,White Sox,Royals,White Sox,Kansas City,Chicago,American,American,Central,Central,6,1,,,,,,
12625,2010,2010-05-15T00:10:00.000Z,False,regular,STATUS_FINAL,Miller Park,False,16,21,milwaukee-brewers,philadelphia-phillies,MIL,PHI,Milwaukee Brewers,Philadelphia Phillies,Brewers,Phillies,Brewers,Phillies,Milwaukee,Philadelphia,National,National,Central,East,5,9,,,,,,
12627,2010,2010-05-15T02:05:00.000Z,False,regular,STATUS_FINAL,Angel Stadium,False,13,20,los-angeles-angels,oakland-athletics,LAA,OAK,Los Angeles Angels,Oakland Athletics,Angels,Athletics,Angels,Athletics,Los Angeles,Oakland,American,American,West,West,4,0,,,,,,
12628,2010,2010-05-15T02:05:00.000Z,False,regular,STATUS_FINAL,Petco Park,False,23,14,san-diego-padres,los-angeles-dodgers,SD,LAD,San Diego Padres,Los Angeles Dodgers,Padres,Dodgers,Padres,Dodgers,San Diego,Los Angeles,National,National,West,West,3,4,,,,,,
12629,2010,2010-05-15T02:15:00.000Z,False,regular,STATUS_FINAL,Oracle Park,False,24,11,san-francisco-giants,houston-astros,SF,HOU,San Francisco Giants,Houston Astros,Giants,Astros,Giants,Astros,San Francisco,Houston,National,American,West,West,8,2,,,,,,
12718,2010,2010-05-15T17:05:00.000Z,False,regular,STATUS_FINAL,Yankee Stadium,False,19,17,new-york-yankees,minnesota-twins,NYY,MIN,New York Yankees,Minnesota Twins,Yankees,Twins,Yankees,Twins,New York,Minnesota,American,American,East,Central,7,1,,,,,,
12719,2010,2010-05-15T17:05:00.000Z,False,regular,STATUS_FINAL,Wrigley Field,False,5,22,chicago-cubs,pittsburgh-pirates,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,Cubs,Pirates,Cubs,Pirates,Chicago,Pittsburgh,National,National,Central,Central,3,4,,,,,,
12720,2010,2010-05-15T17:07:00.000Z,False,regular,STATUS_FINAL,Rogers Centre,False,29,28,toronto-blue-jays,texas-rangers,TOR,TEX,Toronto Blue Jays,Texas Rangers,Blue Jays,Rangers,Blue Jays,Rangers,Toronto,Texas,American,American,East,West,6,0,,,,,,
12721,2010,2010-05-15T18:10:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,30,colorado-rockies,washington-nationals,COL,WSH,Colorado Rockies,Washington Nationals,Rockies,Nationals,Rockies,Nationals,Colorado,Washington,National,National,West,East,6,2,,,,,,
12722,2010,2010-05-15T20:10:00.000Z,False,regular,STATUS_FINAL,Miller Park,False,16,21,milwaukee-brewers,philadelphia-phillies,MIL,PHI,Milwaukee Brewers,Philadelphia Phillies,Brewers,Phillies,Brewers,Phillies,Milwaukee,Philadelphia,National,National,Central,East,6,10,,,,,,
12723,2010,2010-05-15T20:10:00.000Z,False,regular,STATUS_FINAL,Oracle Park,False,24,11,san-francisco-giants,houston-astros,SF,HOU,San Francisco Giants,Houston Astros,Giants,Astros,Giants,Astros,San Francisco,Houston,National,American,West,West,2,1,,,,,,
12724,2010,2010-05-15T20:10:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,25,tampa-bay-rays,seattle-mariners,TB,SEA,Tampa Bay Rays,Seattle Mariners,Rays,Mariners,Rays,Mariners,Tampa Bay,Seattle,American,American,East,West,3,2,,,,,,
12725,2010,2010-05-15T23:05:00.000Z,False,regular,STATUS_FINAL,Oriole Park at Camden Yards,False,3,8,baltimore-orioles,cleveland-guardians,BAL,CLE,Baltimore Orioles,Cleveland Guardians,Orioles,Guardians,Orioles,Guardians,Baltimore,Cleveland,American,American,East,Central,2,8,,,,,,
12726,2010,2010-05-15T23:05:00.000Z,False,regular,STATUS_FINAL,Comerica Park,False,10,4,detroit-tigers,boston-red-sox,DET,BOS,Detroit Tigers,Boston Red Sox,Tigers,Red Sox,Tigers,Red Sox,Detroit,Boston,American,American,Central,East,7,6,,,,,,
