Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Paul Skenes,23.0,PIT,NL,3.6,4.0,6.0,0.4,1.88,14.0,14.0,0.0,1.0,0.0,0.0,91.0,56.0,22.0,19.0,5.0,20.0,0.0,92.0,2.0,0.0,1.0,345.0,220.0,2.49,0.835,5.5,0.5,2.0,9.1,4.6,
2.0,Garrett Crochet*,26.0,BOS,AL,2.5,6.0,4.0,0.6,2.35,14.0,14.0,0.0,0.0,0.0,0.0,88.0,67.0,26.0,23.0,8.0,27.0,0.0,110.0,0.0,3.0,0.0,352.0,176.0,2.68,1.068,6.9,0.8,2.8,11.3,4.07,
3.0,Max Fried*,31.0,NYY,AL,3.0,9.0,1.0,0.9,1.84,14.0,14.0,0.0,0.0,0.0,0.0,88.0,64.0,23.0,18.0,6.0,18.0,0.0,81.0,4.0,1.0,4.0,346.0,218.0,2.87,0.932,6.5,0.6,1.8,8.3,4.5,
4.0,Logan Webb,28.0,SFG,NL,1.7,5.0,5.0,0.5,2.58,14.0,14.0,0.0,0.0,0.0,0.0,87.1,84.0,29.0,25.0,5.0,17.0,0.0,101.0,1.0,0.0,1.0,355.0,148.0,2.12,1.156,8.7,0.5,1.8,10.4,5.94,
5.0,Framber Valdez*,31.0,HOU,AL,2.2,6.0,4.0,0.6,3.07,13.0,13.0,0.0,2.0,0.0,0.0,85.0,63.0,29.0,29.0,6.0,27.0,0.0,84.0,3.0,0.0,3.0,335.0,132.0,3.07,1.059,6.7,0.6,2.9,8.9,3.11,
6.0,Carlos RodÃ³n*,32.0,NYY,AL,2.3,8.0,4.0,0.667,2.87,14.0,14.0,0.0,0.0,0.0,0.0,84.2,50.0,29.0,27.0,10.0,30.0,0.0,103.0,1.0,0.0,2.0,332.0,140.0,3.27,0.945,5.3,1.1,3.2,10.9,3.43,
7.0,Tarik Skubal*,28.0,DET,AL,3.2,6.0,2.0,0.75,2.16,13.0,13.0,0.0,1.0,1.0,0.0,83.1,61.0,20.0,20.0,6.0,7.0,0.0,105.0,3.0,1.0,1.0,314.0,186.0,1.85,0.816,6.6,0.6,0.8,11.3,15.0,
8.0,Luis Severino,31.0,ATH,AL,1.1,1.0,6.0,0.143,4.77,14.0,14.0,0.0,0.0,0.0,0.0,83.0,83.0,47.0,44.0,6.0,27.0,1.0,60.0,5.0,0.0,1.0,361.0,87.0,3.72,1.325,9.0,0.7,2.9,6.5,2.22,
9.0,JosÃ© BerrÃ­os,31.0,TOR,AL,1.8,2.0,2.0,0.5,3.38,14.0,14.0,0.0,0.0,0.0,0.0,82.2,71.0,31.0,31.0,11.0,32.0,1.0,71.0,3.0,1.0,1.0,341.0,124.0,4.36,1.246,7.7,1.2,3.5,7.7,2.22,
10.0,Mitch Keller,29.0,PIT,NL,0.5,1.0,9.0,0.1,4.15,14.0,14.0,0.0,0.0,0.0,0.0,82.1,85.0,41.0,38.0,6.0,20.0,0.0,65.0,4.0,0.0,2.0,350.0,100.0,3.32,1.275,9.3,0.7,2.2,7.1,3.25,
11.0,Merrill Kelly,36.0,ARI,NL,2.2,6.0,2.0,0.75,3.18,14.0,14.0,0.0,0.0,0.0,0.0,82.0,60.0,32.0,29.0,8.0,21.0,0.0,79.0,1.0,0.0,0.0,324.0,129.0,3.22,0.988,6.6,0.9,2.3,8.7,3.76,
12.0,Zack Wheeler,35.0,PHI,NL,2.8,6.0,2.0,0.75,2.85,13.0,13.0,0.0,0.0,0.0,0.0,82.0,55.0,26.0,26.0,10.0,19.0,0.0,101.0,2.0,0.0,1.0,316.0,145.0,2.96,0.902,6.0,1.1,2.1,11.1,5.32,
