game_pk,date,home_whip_rolling_5,away_whip_rolling_5,home_whip_rolling_10,away_whip_rolling_10
778563,2025-03-18,0.0,0.0,0.0,0.0
778564,2025-03-19,0.0,0.0,0.0,0.0
778545,2025-03-27,0.0,0.0,0.0,0.0
778546,2025-03-27,0.0,0.0,0.0,0.0
778547,2025-03-27,0.0,0.0,0.0,0.0
778551,2025-03-27,0.0,0.0,0.0,0.0
778552,2025-03-27,0.0,1.5,0.0,1.5
778553,2025-03-27,0.0,0.0,0.0,0.0
778554,2025-03-27,0.0,0.0,0.0,0.0
778555,2025-03-27,0.0,0.0,0.0,0.0
778556,2025-03-27,0.0,0.0,0.0,0.0
778557,2025-03-27,0.0,0.0,0.0,0.0
778558,2025-03-27,0.0,0.0,0.0,0.0
778559,2025-03-27,0.0,0.0,0.0,0.0
778561,2025-03-27,0.0,0.0,0.0,0.0
778562,2025-03-27,0.0,0.0,0.0,0.0
778518,2025-03-28,0.0,0.0,0.0,0.0
778541,2025-03-28,0.0,0.0,0.0,0.0
778542,2025-03-28,0.0,0.0,0.0,0.0
778543,2025-03-28,0.0,0.0,0.0,0.0
778544,2025-03-28,0.8,0.0,0.8,0.0
778548,2025-03-28,0.0,0.0,0.0,0.0
778549,2025-03-28,0.0,0.0,0.0,0.0
778550,2025-03-28,0.0,0.0,0.0,0.0
778560,2025-03-28,0.0,0.0,0.0,0.0
778520,2025-03-29,0.0,0.0,0.0,0.0
778521,2025-03-29,0.0,0.0,0.0,0.0
778528,2025-03-29,0.0,0.0,0.0,0.0
778529,2025-03-29,0.0,0.0,0.0,0.0
778530,2025-03-29,0.0,0.0,0.0,0.0
778531,2025-03-29,0.0,0.0,0.0,0.0
778532,2025-03-29,0.0,1.0,0.0,1.0
778533,2025-03-29,2.0,0.0,2.0,0.0
778534,2025-03-29,0.0,0.0,0.0,0.0
778535,2025-03-29,0.0,0.0,0.0,0.0
778536,2025-03-29,0.0,0.0,0.0,0.0
778537,2025-03-29,0.0,0.0,0.0,0.0
778538,2025-03-29,0.0,0.0,0.0,0.0
778539,2025-03-29,0.0,0.0,0.0,0.0
778540,2025-03-29,0.0,0.0,0.0,0.0
778510,2025-03-30,0.0,0.0,0.0,0.0
778513,2025-03-30,0.0,0.0,0.0,0.0
778514,2025-03-30,0.0,0.0,0.0,0.0
778515,2025-03-30,0.0,0.0,0.0,0.0
778516,2025-03-30,0.0,0.0,0.0,0.0
778517,2025-03-30,0.0,0.0,0.0,0.0
778519,2025-03-30,0.0,0.0,0.0,0.0
778522,2025-03-30,0.0,0.0,0.0,0.0
778523,2025-03-30,0.0,0.0,0.0,0.0
778524,2025-03-30,0.0,0.0,0.0,0.0
778525,2025-03-30,0.0,0.0,0.0,0.0
778526,2025-03-30,0.0,0.0,0.0,0.0
778527,2025-03-30,0.0,0.0,0.0,0.0
778496,2025-03-31,0.0,0.0,0.0,0.0
778499,2025-03-31,0.0,0.0,0.0,0.0
778500,2025-03-31,0.0,0.0,0.0,0.0
778501,2025-03-31,0.0,0.0,0.0,0.0
778502,2025-03-31,0.0,0.0,0.0,0.0
778503,2025-03-31,0.0,0.0,0.0,0.0
778504,2025-03-31,0.0,0.0,0.0,0.0
778505,2025-03-31,0.0,0.0,0.0,0.0
