game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
491832,2017-08-13,120,137,WSH,SF,Nationals,Giants,Washington Nationals,San Francisco Giants,0,0,regular,regular,2017,2017,121,120,39,37,6,2,11,6,0,1,0,0,3,1,6,2,20,10,3,3,16,13,0,0,0.275,0.245,0.339,0.305,0.47,0.376,0.809,0.681,1,0,0,1,4.03,4.49,11.0,10.0,6,11,2,6,1,3,3,3,13,16,0.0,0.0,1.26,1.4,0,2,2017-08-13
491848,2017-08-13,138,144,STL,ATL,Cardinals,Braves,St. Louis Cardinals,Atlanta Braves,0,0,regular,regular,2017,2017,122,117,35,37,3,6,11,12,0,0,1,1,1,1,3,5,16,17,2,2,6,4,0,1,0.259,0.26,0.335,0.322,0.426,0.41,0.761,0.732,0,1,1,0,3.8,4.69,9.0,9.0,12,11,6,3,1,1,2,2,4,6,0.0,0.0,1.28,1.4,0,0,2017-08-13
491849,2017-08-13,133,110,OAK,BAL,Athletics,Orioles,Oakland Athletics,Baltimore Orioles,0,0,regular,regular,2017,2017,119,119,32,35,9,3,8,10,2,2,0,1,3,1,9,3,19,17,2,1,7,11,1,0,0.24,0.262,0.314,0.317,0.425,0.441,0.739,0.758,1,0,0,1,4.71,4.91,9.0,8.0,10,8,3,9,1,3,1,2,11,7,0.0,0.0,1.36,1.46,0,1,2017-08-13
491850,2017-08-13,147,111,NYY,BOS,Yankees,Red Sox,New York Yankees,Boston Red Sox,0,0,regular,regular,2017,2017,119,120,33,34,2,3,5,4,0,0,1,0,0,1,2,3,7,7,5,6,15,12,2,0,0.259,0.262,0.336,0.333,0.438,0.41,0.774,0.743,0,1,1,0,3.81,3.64,10.0,10.0,4,5,3,2,1,0,6,5,12,15,0.0,0.0,1.23,1.23,0,0,2017-08-13
491851,2017-08-13,109,112,AZ,CHC,D-backs,Cubs,Arizona Diamondbacks,Chicago Cubs,0,0,regular,regular,2017,2017,117,119,28,36,2,7,4,9,1,2,0,0,1,3,2,6,8,20,5,5,12,12,0,0,0.255,0.247,0.329,0.329,0.44,0.433,0.769,0.762,0,1,1,0,3.59,3.97,9.0,9.0,9,4,7,2,3,1,5,5,12,12,0.0,0.0,1.26,1.27,1,0,2017-08-13
491852,2017-08-13,158,113,MIL,CIN,Brewers,Reds,Milwaukee Brewers,Cincinnati Reds,0,0,regular,regular,2017,2017,122,120,30,32,7,4,8,8,4,1,1,0,1,1,6,3,17,12,2,5,10,6,0,1,0.251,0.254,0.322,0.328,0.436,0.439,0.758,0.767,1,0,0,1,4.18,5.26,9.0,8.0,8,8,3,6,1,1,5,2,6,10,0.0,0.0,1.38,1.45,1,1,2017-08-13
491853,2017-08-13,139,114,TB,CLE,Rays,Indians,Tampa Bay Rays,Cleveland Indians,0,0,regular,regular,2017,2017,119,120,30,34,3,4,4,8,0,3,0,0,1,2,3,4,7,17,3,3,12,9,1,0,0.246,0.258,0.319,0.333,0.422,0.432,0.741,0.765,0,1,1,0,4.07,3.66,9.0,9.0,8,4,4,3,2,1,3,3,9,12,0.0,0.0,1.29,1.2,0,0,2017-08-13
491854,2017-08-13,146,115,MIA,COL,Marlins,Rockies,Miami Marlins,Colorado Rockies,0,0,regular,regular,2017,2017,117,120,30,34,5,3,8,10,1,1,0,0,1,0,5,3,12,11,2,3,7,5,0,0,0.264,0.274,0.327,0.334,0.428,0.441,0.755,0.775,1,0,0,1,4.57,4.67,9.0,8.0,10,8,3,5,0,1,3,2,5,7,0.0,0.0,1.39,1.4,0,0,2017-08-13
491855,2017-08-13,140,117,TEX,HOU,Rangers,Astros,Texas Rangers,Houston Astros,0,0,regular,regular,2017,2017,116,119,31,31,1,2,7,6,1,1,0,0,1,1,1,2,11,10,5,2,9,4,1,0,0.24,0.288,0.316,0.352,0.43,0.495,0.746,0.847,0,1,1,0,4.44,4.25,9.0,9.0,6,7,2,1,1,1,2,5,4,9,0.0,0.0,1.36,1.29,0,1,2017-08-13
491856,2017-08-13,145,118,CWS,KC,White Sox,Royals,Chicago White Sox,Kansas City Royals,0,0,regular,regular,2017,2017,119,121,36,42,6,14,9,16,4,1,0,1,1,2,6,12,16,25,3,9,11,8,0,1,0.256,0.256,0.314,0.309,0.413,0.421,0.727,0.73,0,1,1,0,4.7,4.33,9.0,9.0,16,9,14,3,2,1,9,3,8,11,0.0,0.0,1.44,1.36,2,1,2017-08-13
