game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
264688,2010-06-09,460284,434578,Dallas Braden,Joe Saunders,Oakland Athletics,Los Angeles Angels,5.2,9.0,11,7,5,1,4,1,1,1,4,2,0,0,6.9230769230769225,1.0,2.3076923076923075,0.8888888888888888,92,101,63,59,0,0,0,0,0,0,27,33,6,9,5,14,0,1,1,0,0,0,0,0,0,0
264689,2010-06-09,453178,499877,Ian Kennedy,Kenshin Kawakami,Arizona Diamondbacks,Atlanta Braves,7.0,6.0,3,4,0,0,0,0,5,4,6,8,0,0,0.0,0.0,1.1428571428571428,1.3333333333333333,114,111,64,63,0,0,0,0,0,0,28,25,6,4,8,5,0,0,0,0,0,0,0,0,0,0
264690,2010-06-09,475416,453329,Justin Masterson,Clay Buchholz,Cleveland Indians,Boston Red Sox,9.0,7.0,2,3,0,3,0,3,2,4,6,1,0,0,0.0,3.857142857142857,0.4444444444444444,1.0,110,107,75,61,0,0,0,2,0,0,29,27,15,8,4,11,1,0,0,1,0,0,0,0,0,0
264691,2010-06-09,150116,407296,Randy Wolf,Carlos Zambrano,Milwaukee Brewers,Chicago Cubs,4.2,5.0,9,2,8,3,8,3,2,5,1,2,5,0,17.142857142857142,5.4,2.619047619047619,1.4,90,88,56,46,0,1,1,0,0,0,25,23,8,4,5,9,0,1,1,0,0,0,0,0,0,0
264692,2010-06-09,150119,519144,Freddy Garcia,Rick Porcello,Chicago White Sox,Detroit Tigers,7.0,3.1,7,8,3,8,3,8,1,0,4,1,2,2,3.857142857142857,23.225806451612904,1.1428571428571428,2.5806451612903225,96,57,62,40,0,0,0,1,0,0,28,18,3,6,13,3,1,0,0,1,0,0,0,0,0,0
264694,2010-06-09,346871,462956,Aaron Cook,Felipe Paulino,Colorado Rockies,Houston Astros,7.0,8.0,5,8,2,2,2,2,1,2,0,7,0,0,2.5714285714285716,2.25,0.8571428571428571,1.25,86,117,54,75,0,0,0,0,0,0,27,32,15,5,6,10,0,0,0,0,0,0,0,0,0,0
264695,2010-06-09,501957,282332,Chris Tillman,CC Sabathia,Baltimore Orioles,New York Yankees,6.0,7.0,8,9,3,2,2,2,3,3,1,8,0,0,3.0,2.5714285714285716,1.8333333333333333,1.7142857142857142,106,114,58,72,0,0,0,1,0,0,27,32,5,7,10,5,0,1,1,0,0,0,0,0,0,0
264696,2010-06-09,458709,453184,John Lannan,Brad Lincoln,Washington Nationals,Pittsburgh Pirates,4.2,6.0,10,7,5,5,4,5,3,2,2,3,0,1,8.571428571428571,7.5,3.095238095238095,1.5,92,86,53,51,0,0,0,0,0,0,27,27,3,5,9,10,0,0,0,0,0,0,0,0,0,0
264698,2010-06-09,450351,430636,C.J. Wilson,Ian Snell,Texas Rangers,Seattle Mariners,7.0,1.2,4,8,2,8,2,7,3,1,4,1,0,2,2.5714285714285716,52.5,1.0,7.5,116,48,66,28,0,0,1,1,0,0,28,14,3,3,14,1,1,0,0,1,0,0,0,0,0,0
264699,2010-06-09,421685,456043,Aaron Harang,Jonathan Sánchez,Cincinnati Reds,San Francisco Giants,7.0,5.0,5,7,2,3,2,3,3,2,3,4,1,0,2.5714285714285716,5.4,1.1428571428571428,1.8,114,93,69,54,0,1,1,0,0,0,29,24,8,5,10,5,1,0,0,1,0,0,0,0,0,0
264700,2010-06-09,477132,425794,Clayton Kershaw,Adam Wainwright,Los Angeles Dodgers,St. Louis Cardinals,7.0,6.0,4,8,3,4,3,4,2,5,10,6,1,1,3.857142857142857,6.0,0.8571428571428571,2.1666666666666665,113,113,73,66,0,0,0,0,0,0,26,30,5,6,5,5,1,0,0,1,0,0,0,0,0,0
264701,2010-06-09,456034,451788,David Price,Shaun Marcum,Tampa Bay Rays,Toronto Blue Jays,6.0,4.0,4,10,1,7,1,7,5,1,4,3,0,1,1.5,15.75,1.5,2.75,104,68,62,46,1,0,0,0,0,0,27,22,7,3,6,5,1,0,0,1,0,0,0,0,0,0
264702,2010-06-09,134321,434678,Carl Pavano,Kyle Davies,Minnesota Twins,Kansas City Royals,8.0,6.2,6,8,2,5,2,4,2,5,1,1,0,1,2.25,5.806451612903226,1.0,2.096774193548387,98,100,63,58,0,0,0,0,0,0,32,33,10,10,13,9,1,0,0,1,0,0,0,0,0,0
