game_pk,date,home_era_rolling_5,away_era_rolling_5,home_era_rolling_10,away_era_rolling_10
317775,2012-03-28,0.0,0.0,0.0,0.0
318969,2012-03-29,0.0,0.0,0.0,0.0
317733,2012-04-04,0.0,0.0,0.0,0.0
317734,2012-04-05,0.0,0.0,0.0,0.0
317735,2012-04-05,0.0,0.0,0.0,0.0
317736,2012-04-05,0.0,0.0,0.0,0.0
317738,2012-04-05,0.0,0.0,0.0,0.0
317739,2012-04-05,0.0,0.0,0.0,0.0
317742,2012-04-05,0.0,0.0,0.0,0.0
317746,2012-04-05,0.0,0.0,0.0,0.0
317737,2012-04-06,0.0,0.0,0.0,0.0
317740,2012-04-06,0.0,0.0,0.0,0.0
317741,2012-04-06,0.0,0.0,0.0,0.0
317743,2012-04-06,0.0,0.0,0.0,0.0
317744,2012-04-06,0.0,0.0,0.0,0.0
317745,2012-04-06,0.0,0.0,0.0,0.0
317747,2012-04-06,1.2857142857142858,1.4210601108426886,1.2857142857142858,1.4210601108426886
317748,2012-04-06,0.0,0.0,0.0,0.0
317749,2012-04-06,0.0,0.0,0.0,0.0
317750,2012-04-07,0.0,0.0,0.0,0.0
317751,2012-04-07,0.0,0.0,0.0,0.0
317752,2012-04-07,0.0,0.0,0.0,0.0
317753,2012-04-07,0.0,0.0,0.0,0.0
317754,2012-04-07,0.0,0.0,0.0,0.0
317755,2012-04-07,0.0,0.0,0.0,0.0
317756,2012-04-07,0.0,0.0,0.0,0.0
317757,2012-04-07,0.0,0.0,0.0,0.0
317758,2012-04-07,0.0,0.0,0.0,0.0
317759,2012-04-07,0.0,0.0,0.0,0.0
317760,2012-04-07,1.125,1.125,1.125,1.125
317761,2012-04-07,0.0,0.0,0.0,0.0
317762,2012-04-07,0.0,0.0,0.0,0.0
317763,2012-04-07,0.0,0.0,0.0,0.0
317764,2012-04-07,0.0,0.0,0.0,0.0
317765,2012-04-08,0.0,0.0,0.0,0.0
317766,2012-04-08,0.0,0.0,0.0,0.0
317767,2012-04-08,0.0,0.0,0.0,0.0
317768,2012-04-08,0.0,0.0,0.0,0.0
317769,2012-04-08,0.0,0.0,0.0,0.0
317770,2012-04-08,0.0,0.0,0.0,0.0
317771,2012-04-08,0.0,0.0,0.0,0.0
317772,2012-04-08,0.0,0.0,0.0,0.0
317773,2012-04-08,0.0,0.0,0.0,0.0
317774,2012-04-08,0.0,0.0,0.0,0.0
317776,2012-04-08,0.0,0.0,0.0,0.0
317777,2012-04-08,0.0,0.0,0.0,0.0
317778,2012-04-08,0.0,0.0,0.0,0.0
317779,2012-04-08,0.0,0.0,0.0,0.0
317780,2012-04-09,0.0,0.0,0.0,0.0
317781,2012-04-09,0.0,0.0,0.0,0.0
317782,2012-04-09,0.0,0.0,0.0,0.0
317783,2012-04-09,0.0,0.0,0.0,0.0
317784,2012-04-09,0.0,0.0,0.0,0.0
317785,2012-04-09,0.0,0.0,0.0,0.0
317786,2012-04-09,0.0,0.0,0.0,0.0
317787,2012-04-09,0.0,0.0,0.0,0.0
317788,2012-04-09,0.0,0.0,0.0,0.0
317789,2012-04-09,0.0,0.0,0.0,0.0
317790,2012-04-09,0.0,0.0,0.0,0.0
317791,2012-04-09,0.0,0.0,0.0,0.0
317792,2012-04-10,3.6,0.0,3.6,0.0
317793,2012-04-10,0.0,1.8,0.0,1.8
317794,2012-04-10,0.0,0.0,0.0,0.0
317796,2012-04-10,0.0,0.0,0.0,0.0
317797,2012-04-10,0.0,0.0,0.0,0.0
317798,2012-04-10,0.0,0.0,0.0,0.0
317799,2012-04-10,0.0,0.0,0.0,0.0
317800,2012-04-10,0.0,0.0,0.0,0.0
317801,2012-04-10,0.0,1.2272783058104808,0.0,1.2272783058104808
317802,2012-04-10,0.0,0.0,0.0,0.0
317803,2012-04-10,0.0,0.0,0.0,0.0
317804,2012-04-11,5.142857142857143,0.0,5.142857142857143,0.0
317805,2012-04-11,9.642788265798103,0.0,9.642788265798103,0.0
317806,2012-04-11,0.0,0.0,0.0,0.0
317807,2012-04-11,7.2,1.2857142857142858,7.2,1.2857142857142858
317808,2012-04-11,1.125,4.5,1.125,4.5
317809,2012-04-11,0.0,4.5,0.0,4.5
317810,2012-04-11,2.25,0.0,2.25,0.0
