game_pk,date,home_k_per_9_rolling_5,away_k_per_9_rolling_5,home_k_per_9_rolling_10,away_k_per_9_rolling_10
317775,2012-03-28,0.0,0.0,0.0,0.0
318969,2012-03-29,0.0,0.0,0.0,0.0
317733,2012-04-04,0.0,0.0,0.0,0.0
317734,2012-04-05,0.0,0.0,0.0,0.0
317735,2012-04-05,0.0,0.0,0.0,0.0
317736,2012-04-05,0.0,0.0,0.0,0.0
317738,2012-04-05,0.0,0.0,0.0,0.0
317739,2012-04-05,0.0,0.0,0.0,0.0
317742,2012-04-05,0.0,0.0,0.0,0.0
317746,2012-04-05,0.0,0.0,0.0,0.0
317737,2012-04-06,0.0,0.0,0.0,0.0
317740,2012-04-06,0.0,0.0,0.0,0.0
317741,2012-04-06,0.0,0.0,0.0,0.0
317743,2012-04-06,0.0,0.0,0.0,0.0
317744,2012-04-06,0.0,0.0,0.0,0.0
317745,2012-04-06,0.0,0.0,0.0,0.0
317747,2012-04-06,3.857142857142857,4.263180332528066,3.857142857142857,4.263180332528066
317748,2012-04-06,0.0,0.0,0.0,0.0
317749,2012-04-06,0.0,0.0,0.0,0.0
317750,2012-04-07,0.0,0.0,0.0,0.0
317751,2012-04-07,0.0,0.0,0.0,0.0
317752,2012-04-07,0.0,0.0,0.0,0.0
317753,2012-04-07,0.0,0.0,0.0,0.0
317754,2012-04-07,0.0,0.0,0.0,0.0
317755,2012-04-07,0.0,0.0,0.0,0.0
317756,2012-04-07,0.0,0.0,0.0,0.0
317757,2012-04-07,0.0,0.0,0.0,0.0
317758,2012-04-07,0.0,0.0,0.0,0.0
317759,2012-04-07,0.0,0.0,0.0,0.0
317760,2012-04-07,6.75,6.75,6.75,6.75
317761,2012-04-07,0.0,0.0,0.0,0.0
317762,2012-04-07,0.0,0.0,0.0,0.0
317763,2012-04-07,0.0,0.0,0.0,0.0
317764,2012-04-07,0.0,0.0,0.0,0.0
317765,2012-04-08,0.0,0.0,0.0,0.0
317766,2012-04-08,0.0,0.0,0.0,0.0
317767,2012-04-08,0.0,0.0,0.0,0.0
317768,2012-04-08,0.0,0.0,0.0,0.0
317769,2012-04-08,0.0,0.0,0.0,0.0
317770,2012-04-08,0.0,0.0,0.0,0.0
317771,2012-04-08,0.0,0.0,0.0,0.0
317772,2012-04-08,0.0,0.0,0.0,0.0
317773,2012-04-08,0.0,0.0,0.0,0.0
317774,2012-04-08,0.0,0.0,0.0,0.0
317776,2012-04-08,0.0,0.0,0.0,0.0
317777,2012-04-08,0.0,0.0,0.0,0.0
317778,2012-04-08,0.0,0.0,0.0,0.0
317779,2012-04-08,0.0,0.0,0.0,0.0
317780,2012-04-09,0.0,0.0,0.0,0.0
317781,2012-04-09,0.0,0.0,0.0,0.0
317782,2012-04-09,0.0,0.0,0.0,0.0
317783,2012-04-09,0.0,0.0,0.0,0.0
317784,2012-04-09,0.0,0.0,0.0,0.0
317785,2012-04-09,0.0,0.0,0.0,0.0
317786,2012-04-09,0.0,0.0,0.0,0.0
317787,2012-04-09,0.0,0.0,0.0,0.0
317788,2012-04-09,0.0,0.0,0.0,0.0
317789,2012-04-09,0.0,0.0,0.0,0.0
317790,2012-04-09,0.0,0.0,0.0,0.0
317791,2012-04-09,0.0,0.0,0.0,0.0
317792,2012-04-10,12.6,0.0,12.6,0.0
317793,2012-04-10,0.0,7.2,0.0,7.2
317794,2012-04-10,0.0,0.0,0.0,0.0
317796,2012-04-10,0.0,0.0,0.0,0.0
317797,2012-04-10,0.0,0.0,0.0,0.0
317798,2012-04-10,0.0,0.0,0.0,0.0
317799,2012-04-10,9.0,0.0,9.0,0.0
317800,2012-04-10,0.0,0.0,0.0,0.0
317801,2012-04-10,0.0,3.6818349174314426,0.0,3.6818349174314426
317802,2012-04-10,0.0,0.0,0.0,0.0
317803,2012-04-10,0.0,0.0,0.0,0.0
317804,2012-04-11,1.2857142857142858,11.25,1.2857142857142858,11.25
317805,2012-04-11,11.571345918957723,0.0,11.571345918957723,0.0
317806,2012-04-11,2.842120221685377,0.0,2.842120221685377,0.0
317807,2012-04-11,7.2,5.142857142857143,7.2,5.142857142857143
317808,2012-04-11,11.25,9.0,11.25,9.0
317809,2012-04-11,5.625,6.0,5.625,6.0
317810,2012-04-11,4.5,6.0,4.5,6.0
