game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
778552,2025-03-27,668678,657006,Zac Gallen,Justin Steele,109,112,AZ,CHC,2025,2025,0,0,regular,regular,0,1,0,1,0,0,0,0,0,1,0.0,11.25,0,0,0,0,0.0,4.0,0,5,0,5,0,2,0,1,0.0,1.5,0,5,0.0,11.25,,
778546,2025-03-27,605483,669373,Blake Snell,Tarik Skubal,119,116,LAD,DET,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778551,2025-03-27,543243,641154,Sonny Gray,Pablo López,138,142,STL,MIN,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778562,2025-03-27,645261,694973,Sandy Alcantara,Paul Skenes,146,134,MIA,PIT,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778554,2025-03-27,680732,579328,Sean Burke,Yusei Kikuchi,145,108,CWS,LAA,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778545,2025-03-27,650633,519242,Michael King,Chris Sale,135,144,SD,ATL,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778547,2025-03-27,669302,622663,Logan Gilbert,Luis Severino,136,133,SEA,ATH,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778559,2025-03-27,664285,605280,Framber Valdez,Clay Holmes,117,121,HOU,NYM,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778558,2025-03-27,666142,594902,Cole Ragans,Ben Lively,118,114,KC,CLE,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778555,2025-03-27,669022,554430,MacKenzie Gore,Zack Wheeler,120,143,WSH,PHI,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778553,2025-03-27,543135,676979,Nathan Eovaldi,Garrett Crochet,140,111,TEX,BOS,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778556,2025-03-27,621244,621107,José Berríos,Zach Eflin,141,110,TOR,BAL,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778557,2025-03-27,607074,642547,Carlos Rodón,Freddy Peralta,147,158,NYY,MIL,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
778561,2025-03-27,668881,657277,Hunter Greene,Logan Webb,113,137,CIN,SF,2025,2025,0,0,regular,regular,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,
