id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
341,2021,2021-04-03T00:40:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,14,colorado-rockies,los-angeles-dodgers,COL,LAD,Colorado Rockies,Los Angeles Dodgers,Rockies,Dodgers,Rockies,Dodgers,Colorado,Los Angeles,National,National,West,West,6,11,,,,,,
342,2021,2021-04-03T01:38:00.000Z,False,regular,STATUS_FINAL,Angel Stadium,False,13,6,los-angeles-angels,chicago-white-sox,LAA,CHW,Los Angeles Angels,Chicago White Sox,Angels,White Sox,Angels,White Sox,Los Angeles,Chicago,American,American,West,Central,8,12,,,,,,
343,2021,2021-04-03T01:40:00.000Z,False,regular,STATUS_FINAL,Oakland Coliseum,False,20,11,oakland-athletics,houston-astros,OAK,HOU,Oakland Athletics,Houston Astros,Athletics,Astros,Athletics,Astros,Oakland,Houston,American,American,West,West,5,9,,,,,,
344,2021,2021-04-03T02:10:00.000Z,False,regular,STATUS_FINAL,Petco Park,False,23,1,san-diego-padres,arizona-diamondbacks,SD,ARI,San Diego Padres,Arizona Diamondbacks,Padres,Diamondbacks,Padres,Diamondbacks,San Diego,Arizona,National,National,West,West,4,2,,,,,,
345,2021,2021-04-03T02:10:00.000Z,False,regular,STATUS_FINAL,T-Mobile Park,False,25,24,seattle-mariners,san-francisco-giants,SEA,SF,Seattle Mariners,San Francisco Giants,Mariners,Giants,Mariners,Giants,Seattle,San Francisco,American,National,West,West,3,6,,,,,,
444,2021,2021-04-03T17:05:00.000Z,False,regular,STATUS_FINAL,Yankee Stadium,False,19,29,new-york-yankees,toronto-blue-jays,NYY,TOR,New York Yankees,Toronto Blue Jays,Yankees,Blue Jays,Yankees,Blue Jays,New York,Toronto,American,American,East,East,5,3,,,,,,
445,2021,2021-04-03T17:10:00.000Z,False,regular,STATUS_FINAL,Fenway Park,False,4,3,boston-red-sox,baltimore-orioles,BOS,BAL,Boston Red Sox,Baltimore Orioles,Red Sox,Orioles,Red Sox,Orioles,Boston,Baltimore,American,American,East,East,2,4,,,,,,
446,2021,2021-04-03T17:10:00.000Z,False,regular,STATUS_FINAL,Comerica Park,False,10,8,detroit-tigers,cleveland-guardians,DET,CLE,Detroit Tigers,Cleveland Guardians,Tigers,Guardians,Tigers,Guardians,Detroit,Cleveland,American,American,Central,Central,5,2,,,,,,
447,2021,2021-04-03T18:10:00.000Z,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,28,kansas-city-royals,texas-rangers,KC,TEX,Kansas City Royals,Texas Rangers,Royals,Rangers,Royals,Rangers,Kansas City,Texas,American,American,Central,West,11,4,,,,,,
448,2021,2021-04-03T18:20:00.000Z,False,regular,STATUS_FINAL,Wrigley Field,False,5,22,chicago-cubs,pittsburgh-pirates,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,Cubs,Pirates,Cubs,Pirates,Chicago,Pittsburgh,National,National,Central,Central,5,1,,,,,,
449,2021,2021-04-03T20:05:00.000Z,False,regular,STATUS_FINAL,Citizens Bank Park,False,21,2,philadelphia-phillies,atlanta-braves,PHI,ATL,Philadelphia Phillies,Atlanta Braves,Phillies,Braves,Phillies,Braves,Philadelphia,Atlanta,National,National,East,East,4,0,,,,,,
451,2021,2021-04-03T20:07:00.000Z,False,regular,STATUS_FINAL,Oakland Coliseum,False,20,11,oakland-athletics,houston-astros,OAK,HOU,Oakland Athletics,Houston Astros,Athletics,Astros,Athletics,Astros,Oakland,Houston,American,American,West,West,1,9,,,,,,
452,2021,2021-04-03T20:10:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,26,cincinnati-reds,st-louis-cardinals,CIN,STL,Cincinnati Reds,St. Louis Cardinals,Reds,Cardinals,Reds,Cardinals,Cincinnati,St. Louis,National,National,Central,Central,9,6,,,,,,
453,2021,2021-04-03T22:10:00.000Z,False,regular,STATUS_FINAL,loanDepot park,False,15,27,miami-marlins,tampa-bay-rays,MIA,TB,Miami Marlins,Tampa Bay Rays,Marlins,Rays,Marlins,Rays,Miami,Tampa Bay,National,American,East,East,12,7,,,,,,
454,2021,2021-04-03T23:10:00.000Z,False,regular,STATUS_FINAL,American Family Field,False,16,17,milwaukee-brewers,minnesota-twins,MIL,MIN,Milwaukee Brewers,Minnesota Twins,Brewers,Twins,Brewers,Twins,Milwaukee,Minnesota,National,American,Central,Central,0,2,,,,,,
