id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
3335,2025,2025-04-02T23:05:00.000Z,False,regular,STATUS_FINAL,Yankee Stadium,False,19,1,new-york-yankees,arizona-diamondbacks,NYY,ARI,New York Yankees,Arizona Diamondbacks,Yankees,Diamondbacks,Yankees,Diamondbacks,New York,Arizona,American,National,East,West,3,4,,,,,,
3336,2025,2025-04-02T22:35:00.000Z,False,regular,STATUS_FINAL,Oriole Park at Camden Yards,False,3,4,baltimore-orioles,boston-red-sox,BAL,BOS,Baltimore Orioles,Boston Red Sox,Orioles,Red Sox,Orioles,Red Sox,Baltimore,Boston,American,American,East,East,0,3,,,,,,
3337,2025,2025-04-02T22:45:00.000Z,False,regular,STATUS_FINAL,Citizens Bank Park,False,21,9,philadelphia-phillies,colorado-rockies,PHI,COL,Philadelphia Phillies,Colorado Rockies,Phillies,Rockies,Phillies,Rockies,Philadelphia,Colorado,National,National,East,West,5,1,,,,,,
3338,2025,2025-04-02T20:40:00.000Z,False,regular,STATUS_FINAL,loanDepot park,False,15,18,miami-marlins,new-york-mets,MIA,NYM,Miami Marlins,New York Mets,Marlins,Mets,Marlins,Mets,Miami,New York,National,National,East,East,5,6,,,,,,
3339,2025,2025-04-02T17:10:00.000Z,False,regular,STATUS_FINAL,George M. Steinbrenner Field,False,27,22,tampa-bay-rays,pittsburgh-pirates,TB,PIT,Tampa Bay Rays,Pittsburgh Pirates,Rays,Pirates,Rays,Pirates,Tampa Bay,Pittsburgh,American,National,East,Central,2,4,,,,,,
3340,2025,2025-04-02T16:40:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,28,cincinnati-reds,texas-rangers,CIN,TEX,Cincinnati Reds,Texas Rangers,Reds,Rangers,Reds,Rangers,Cincinnati,Texas,National,American,Central,West,0,1,,,,,,
3341,2025,2025-04-02T19:07:00.000Z,False,regular,STATUS_FINAL,Rogers Centre,False,29,30,toronto-blue-jays,washington-nationals,TOR,WSH,Toronto Blue Jays,Washington Nationals,Blue Jays,Nationals,Blue Jays,Nationals,Toronto,Washington,American,National,East,East,4,2,,,,,,
3342,2025,2025-04-02T17:15:00.000Z,False,regular,STATUS_FINAL,Busch Stadium,False,26,13,st-louis-cardinals,los-angeles-angels,STL,LAA,St. Louis Cardinals,Los Angeles Angels,Cardinals,Angels,Cardinals,Angels,St. Louis,Los Angeles,National,American,Central,West,12,5,,,,,,
3343,2025,2025-04-02T17:10:00.000Z,False,regular,STATUS_FINAL,American Family Field,False,16,12,milwaukee-brewers,kansas-city-royals,MIL,KC,Milwaukee Brewers,Kansas City Royals,Brewers,Royals,Brewers,Royals,Milwaukee,Kansas City,National,American,Central,Central,3,2,,,,,,
3344,2025,2025-04-02T18:10:00.000Z,False,regular,STATUS_FINAL,Rate Field,False,6,17,chicago-white-sox,minnesota-twins,CHW,MIN,Chicago White Sox,Minnesota Twins,White Sox,Twins,White Sox,Twins,Chicago,Minnesota,American,American,Central,Central,1,6,,,,,,
3345,2025,2025-04-02T20:10:00.000Z,False,regular,STATUS_FINAL,Daikin Park,False,11,24,houston-astros,san-francisco-giants,HOU,SF,Houston Astros,San Francisco Giants,Astros,Giants,Astros,Giants,Houston,San Francisco,American,National,West,West,3,6,,,,,,
3346,2025,2025-04-03T00:38:00.000Z,False,regular,STATUS_FINAL,Dodger Stadium,False,14,2,los-angeles-dodgers,atlanta-braves,LAD,ATL,Los Angeles Dodgers,Atlanta Braves,Dodgers,Braves,Dodgers,Braves,Los Angeles,Atlanta,National,National,West,East,6,5,,,,,,
3348,2025,2025-04-02T20:10:00.000Z,False,regular,STATUS_FINAL,Petco Park,False,23,8,san-diego-padres,cleveland-guardians,SD,CLE,San Diego Padres,Cleveland Guardians,Padres,Guardians,Padres,Guardians,San Diego,Cleveland,National,American,West,Central,5,2,,,,,,
3349,2025,2025-04-02T20:10:00.000Z,False,regular,STATUS_FINAL,T-Mobile Park,False,25,10,seattle-mariners,detroit-tigers,SEA,DET,Seattle Mariners,Detroit Tigers,Mariners,Tigers,Mariners,Tigers,Seattle,Detroit,American,American,West,Central,3,2,,,,,,
63884,2025,2025-04-02T19:35:00.000Z,False,regular,STATUS_FINAL,Sutter Health Park,False,20,5,oakland-athletics,chicago-cubs,OAK,CHC,Oakland Athletics,Chicago Cubs,Athletics,Cubs,Athletics,Cubs,Oakland,Chicago,American,National,West,Central,2,10,,,,,,
