Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,37,20,0.649,W 4,5.1,3.6,1.5,-0.1,1.4,37-20,0.0,10-2,9-5,7-6,11-7,21-8,16-12,2-3,10-5,27-16,10-4,19-16,18-4,6-4,13-7,20-10
2.0,Philadelphia Phillies,35,19,0.648,W 1,4.9,4.0,0.8,-0.3,0.5,31-23,4.0,8-8,7-5,13-4,7-2,18-8,17-11,4-4,10-4,27-12,8-7,13-12,22-7,9-1,16-4,22-8
3.0,New York Yankees,35,20,0.636,W 5,5.5,3.5,2.1,-0.2,1.8,38-17,-3.0,7-6,5-4,10-2,13-8,18-9,17-11,1-3,10-11,27-15,8-5,19-12,16-8,9-1,16-4,20-10
4.0,Chicago Cubs,35,21,0.625,W 4,5.9,4.2,1.7,-0.1,1.6,36-20,-1.0,6-6,6-3,15-11,8-1,18-10,17-11,3-3,9-4,27-15,8-6,12-13,23-8,8-2,13-7,19-11
5.0,Los Angeles Dodgers,34,22,0.607,L 1,5.6,4.4,1.2,-0.1,1.0,34-22,0.0,13-8,5-5,7-3,9-6,19-8,15-14,4-2,8-7,27-12,7-10,10-9,24-13,5-5,10-10,18-12
6.0,New York Mets,34,22,0.607,L 1,4.3,3.3,1.0,0.1,1.1,35-21,-1.0,9-4,9-4,5-4,11-10,21-7,13-15,2-2,12-8,28-16,6-6,15-10,19-12,5-5,11-9,16-14
7.0,San Diego Padres,31,23,0.574,L 1,4.3,4.0,0.3,-0.1,0.2,29-25,2.0,8-2,6-3,7-1,10-17,18-9,13-14,1-3,10-5,21-17,10-6,11-15,20-8,4-6,8-12,14-16
8.0,St. Louis Cardinals,32,24,0.571,W 2,4.8,4.0,0.8,0.1,0.9,33-23,-1.0,10-9,8-5,3-0,11-10,19-8,13-16,0-4,10-8,23-15,9-9,16-12,16-12,6-4,15-5,21-9
9.0,Seattle Mariners,30,24,0.556,L 1,4.6,4.2,0.3,-0.1,0.2,29-25,1.0,5-7,3-3,14-8,8-6,14-12,16-12,3-3,10-7,20-18,10-6,8-11,22-13,5-5,10-10,17-13
10.0,San Francisco Giants,31,25,0.554,L 3,4.3,3.6,0.7,0.0,0.7,32-24,-1.0,4-3,8-5,4-5,15-12,17-9,14-16,4-1,11-9,26-13,5-12,16-15,15-10,4-6,9-11,14-16
11.0,Cleveland Guardians,30,25,0.545,W 1,4.1,4.4,-0.3,0.0,-0.3,26-29,4.0,6-6,14-5,1-2,9-12,15-10,15-15,4-0,8-4,27-17,3-8,17-14,13-11,5-5,10-10,15-15
12.0,Houston Astros,30,25,0.545,W 4,4.2,3.5,0.7,0.1,0.8,32-23,-2.0,4-2,8-7,10-6,8-10,20-10,10-15,2-0,8-7,26-23,4-2,18-19,12-6,7-3,13-7,17-13
13.0,Minnesota Twins,30,25,0.545,L 1,3.9,3.5,0.5,-0.1,0.4,31-24,-1.0,9-3,10-12,4-2,7-8,18-8,12-17,2-3,7-7,25-21,5-4,15-19,15-6,5-5,15-5,21-9
14.0,Kansas City Royals,30,27,0.526,W 1,3.3,3.4,-0.1,0.0,0.0,28-29,2.0,8-7,11-10,3-3,8-7,18-11,12-16,4-2,11-7,25-23,5-4,17-21,13-6,5-5,9-11,17-13
15.0,Tampa Bay Rays,28,27,0.509,W 1,4.1,3.7,0.4,0.0,0.4,30-25,-2.0,9-7,2-4,3-6,14-10,18-19,10-8,3-1,8-8,20-19,8-8,12-13,16-14,7-3,12-8,17-13
16.0,Milwaukee Brewers,29,28,0.509,W 4,4.3,4.3,0.0,0.0,0.1,29-28,0.0,0-0,7-7,4-6,18-15,18-10,11-18,3-2,8-8,19-20,10-8,12-19,17-9,7-3,10-10,16-14
17.0,Cincinnati Reds,28,29,0.491,L 1,4.6,4.1,0.6,-0.2,0.3,32-25,-4.0,3-7,8-9,6-3,11-10,14-14,14-15,0-5,5-9,21-18,7-11,14-15,14-14,5-5,10-10,14-16
18.0,Toronto Blue Jays,27,28,0.491,W 1,3.8,4.3,-0.5,0.0,-0.4,25-30,2.0,10-12,2-4,7-8,8-4,16-12,11-16,4-2,6-8,23-23,4-5,11-19,16-9,5-5,11-9,15-15
19.0,Arizona Diamondbacks,27,29,0.482,L 2,5.0,5.1,-0.1,0.3,0.2,27-29,0.0,9-9,6-10,7-6,5-4,14-15,13-14,2-4,8-11,20-20,7-9,17-21,10-8,3-7,8-12,13-17
20.0,Texas Rangers,27,30,0.474,L 1,3.2,3.5,-0.2,0.0,-0.2,27-30,0.0,8-8,3-3,8-12,8-7,18-12,9-18,0-0,9-11,23-20,4-10,11-17,16-13,2-8,9-11,12-18
21.0,Atlanta Braves,25,28,0.472,L 2,4.1,3.9,0.2,-0.1,0.1,28-25,-3.0,6-6,6-4,6-13,7-5,16-9,9-19,5-1,9-13,19-23,6-5,10-16,15-12,4-6,10-10,16-14
22.0,Boston Red Sox,27,31,0.466,L 5,4.7,4.5,0.2,-0.2,0.0,30-28,-3.0,8-9,9-10,4-6,6-6,16-14,11-17,4-6,6-15,22-24,5-7,13-14,14-17,4-6,8-12,13-17
23.0,Los Angeles Angels,25,30,0.455,L 5,4.1,5.1,-1.0,0.0,-1.0,22-33,3.0,5-7,5-8,5-7,10-8,10-15,15-15,2-0,8-4,22-24,3-6,14-19,11-11,5-5,10-10,13-17
24.0,Washington Nationals,25,30,0.455,W 1,4.3,5.1,-0.9,-0.2,-1.0,23-32,2.0,8-11,3-7,7-5,7-7,13-14,12-16,1-1,11-7,19-22,6-8,9-15,16-15,7-3,9-11,14-16
25.0,Athletics,23,33,0.411,L 2,4.2,5.8,-1.6,0.0,-1.6,20-36,3.0,1-2,5-1,8-12,9-18,9-19,14-14,3-2,7-9,17-27,6-6,9-24,14-9,1-9,3-17,10-20
26.0,Miami Marlins,22,32,0.407,W 1,4.2,5.6,-1.4,0.2,-1.2,20-34,2.0,6-8,7-6,2-10,7-8,13-15,9-17,3-3,7-9,16-25,6-7,10-20,12-12,5-5,9-11,11-19
27.0,Pittsburgh Pirates,21,36,0.368,W 2,3.2,4.3,-1.1,0.3,-0.8,21-36,0.0,7-10,7-12,3-6,4-8,13-16,8-20,3-3,10-12,17-27,4-9,9-25,12-11,6-4,9-11,10-20
