gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
156,1350,1345,709,281,16,214,1350,483,14,1353,43,.253,5347,.318,.432,.750,27,79,.745,.255,114,22259,5929,2308,686,1063,17,34,.298,1.00,5,24.99,Athletics
156,1342,1311,561,233,21,112,1364,515,19,1195,51,.231,5167,.305,.350,.655,34,112,.767,.233,118,22635,5782,1806,540,1089,13,32,.291,1.02,4,46.13,Pittsburgh Pirates
157,1398,1503,670,248,18,143,1123,494,17,1325,57,.252,5258,.321,.388,.709,29,105,.784,.216,102,22751,5902,2038,631,1097,47,44,.293,0.93,2,36.77,San Diego Padres
156,1255,1439,741,225,9,230,1375,525,26,1297,82,.244,5305,.320,.420,.740,37,153,.805,.195,101,23478,5975,2230,710,1073,23,37,.286,0.87,2,23.06,Seattle Mariners
157,1210,1510,679,230,26,166,1344,538,13,1221,64,.234,5214,.311,.384,.695,22,66,.750,.250,103,23161,5888,2001,649,1041,22,49,.281,0.80,1,31.41,San Francisco Giants
157,1240,1532,673,253,8,144,1266,466,17,1291,88,.245,5265,.315,.378,.693,25,86,.775,.225,111,22780,5888,1992,638,1062,25,39,.295,0.81,5,36.56,St. Louis Cardinals
156,1354,1304,696,235,16,177,1340,451,10,1324,45,.252,5264,.314,.403,.717,48,188,.797,.203,104,22587,5820,2122,663,997,16,42,.303,1.04,2,29.74,Tampa Bay Rays
156,1245,1541,662,237,15,170,1269,478,18,1238,60,.236,5243,.305,.384,.689,31,132,.810,.190,91,22739,5834,2015,638,1037,10,40,.278,0.81,3,30.84,Texas Rangers
156,1384,1540,768,284,11,182,1054,500,25,1418,63,.267,5317,.334,.427,.761,24,74,.755,.245,129,22503,5967,2270,742,1088,34,45,.300,0.90,8,29.21,Toronto Blue Jays
156,1259,1457,661,241,19,184,1307,480,10,1251,87,.239,5232,.312,.398,.710,30,107,.781,.219,102,22775,5842,2082,626,1053,8,34,.283,0.86,1,28.44,Minnesota Twins
156,1308,1409,756,263,24,200,1271,516,18,1381,60,.260,5314,.330,.431,.761,29,120,.805,.195,92,23101,5948,2292,731,1095,15,40,.304,0.93,3,26.57,Philadelphia Phillies
157,1320,1439,710,238,18,181,1325,557,14,1318,51,.246,5351,.321,.399,.720,24,80,.769,.231,96,23820,6011,2135,688,1128,15,36,.293,0.92,1,29.56,Atlanta Braves
156,1187,1524,618,234,10,156,1313,486,8,1201,47,.232,5171,.302,.372,.674,21,82,.796,.204,107,22428,5763,1923,597,1022,21,33,.280,0.78,5,33.15,Chicago White Sox
156,1421,1439,692,267,27,151,1203,468,13,1348,49,.252,5349,.316,.397,.713,41,131,.762,.238,92,22199,5928,2122,661,1080,19,43,.296,0.99,0,35.42,Miami Marlins
156,1167,1447,816,249,19,263,1408,609,43,1320,53,.250,5282,.330,.454,.784,35,132,.790,.210,101,23862,6013,2396,788,1084,7,53,.288,0.81,9,20.08,New York Yankees
157,1393,1416,794,256,18,163,1224,547,15,1392,69,.260,5350,.334,.406,.740,52,160,.755,.245,93,23761,6045,2173,738,1120,25,50,.306,0.98,4,32.82,Milwaukee Brewers
156,1151,1338,655,207,17,217,1571,468,22,1174,87,.226,5186,.299,.398,.697,26,86,.768,.232,94,22948,5796,2066,633,990,13,35,.279,0.86,7,23.90,Los Angeles Angels
156,1324,1470,773,268,37,209,1252,520,19,1330,79,.252,5280,.325,.435,.760,37,117,.760,.240,104,23084,5978,2299,752,1063,35,61,.289,0.90,3,25.26,Arizona Diamondbacks
156,1273,1362,656,247,18,182,1399,461,14,1239,71,.237,5230,.305,.395,.700,35,117,.770,.230,99,22776,5805,2068,623,1006,4,39,.287,0.93,0,28.74,Baltimore Orioles
156,1315,1371,765,309,23,182,1364,504,24,1365,71,.255,5363,.325,.423,.748,38,137,.783,.217,93,23296,5991,2266,727,1088,13,40,.307,0.96,0,29.47,Boston Red Sox
156,1228,1591,750,257,27,209,1222,536,15,1316,45,.249,5294,.320,.426,.746,35,155,.816,.184,69,23006,5940,2254,731,1079,9,54,.283,0.77,2,25.33,Chicago Cubs
156,1266,1394,697,243,23,161,1353,508,15,1284,49,.245,5243,.315,.392,.707,30,104,.776,.224,99,22699,5854,2056,659,1042,12,42,.298,0.91,0,32.56,Cincinnati Reds
156,1180,1568,616,231,17,163,1289,477,29,1157,58,.226,5119,.297,.373,.670,33,122,.787,.213,77,22444,5729,1911,595,983,26,48,.268,0.75,0,31.40,Cleveland Guardians
156,1227,1334,584,245,36,155,1463,385,5,1246,47,.239,5215,.295,.389,.684,39,86,.688,.312,114,21663,5703,2028,568,956,20,35,.300,0.92,1,33.64,Colorado Rockies
156,1136,1489,743,239,36,193,1384,491,12,1302,64,.248,5257,.317,.417,.734,15,60,.800,.200,85,23151,5872,2192,709,1018,5,49,.297,0.76,6,27.24,Detroit Tigers
156,1321,1443,659,237,12,172,1248,454,15,1328,67,.251,5287,.316,.398,.714,26,78,.750,.250,121,22034,5862,2105,629,1080,16,37,.296,0.92,1,30.74,Houston Astros
156,1287,1664,616,277,22,153,1049,414,18,1287,66,.247,5218,.308,.396,.704,41,105,.719,.281,94,21939,5770,2067,606,1032,29,40,.280,0.77,3,34.10,Kansas City Royals
156,1214,1490,794,249,19,232,1294,565,33,1336,55,.254,5268,.329,.440,.769,24,86,.782,.218,106,23433,5957,2319,761,1060,13,53,.291,0.81,3,22.71,Los Angeles Dodgers
157,1440,1304,666,254,28,148,1296,433,11,1275,57,.243,5257,.305,.386,.691,47,129,.733,.267,97,22219,5807,2029,636,966,18,40,.292,1.10,2,35.52,Washington Nationals
156,1342,1390,739,255,19,215,1274,542,28,1315,86,.250,5254,.327,.429,.756,18,140,.886,.114,117,23360,5952,2253,720,1105,14,53,.288,0.97,3,24.44,New York Mets
